Dates,HML
11/30/83,-0.007970357
12/30/83,0.00185087
1/31/84,0.004563958
2/29/84,0.040539657
3/30/84,0.004923783
4/30/84,0.009484014
5/31/84,0.008362079
6/29/84,0.018663853
7/31/84,0.02251963
8/31/84,-0.013187216
9/28/84,-0.003488679
10/31/84,-0.00326779
11/30/84,0.008788134
12/31/84,0.005140221
1/31/85,0.003922809
2/28/85,0.002740022
3/29/85,0.00803528
4/30/85,-0.006836142
5/31/85,0.013568039
6/28/85,0.019009758
7/31/85,-0.016725135
8/30/85,0.011917591
9/30/85,-0.01893324
10/31/85,0.013089125
11/29/85,-0.009343676
12/31/85,-0.010858738
1/31/86,0.021922693
2/28/86,-0.030857698
3/31/86,0.036546046
4/30/86,-0.010668429
5/30/86,0.01515896
6/30/86,-0.038699014
7/31/86,-0.067778679
8/29/86,-0.01656911
9/30/86,0.005517866
10/31/86,0.03161045
11/28/86,0.002223877
12/31/86,0.011820367
1/30/87,-0.001378039
2/27/87,0.021832572
3/31/87,0.001058259
4/30/87,-0.012122726
5/29/87,0.023340564
6/30/87,0.025409745
7/31/87,0.00100373
8/31/87,-0.008842253
9/30/87,0.043373515
10/30/87,-0.06381226
11/30/87,0.003291752
12/31/87,-0.009249088
1/29/88,0.036594257
2/29/88,0.026582073
3/31/88,0.011262873
4/29/88,0.028437656
5/31/88,0.042046381
6/30/88,0.027648138
7/29/88,0.025828878
8/31/88,-0.003329442
9/30/88,0.003369659
10/31/88,-0.019804553
11/30/88,0.016873152
12/30/88,0.008966666
1/31/89,0.041314186
2/28/89,-0.032598211
3/31/89,0.042794473
4/28/89,0.009474034
5/31/89,0.018139251
6/30/89,0.00596801
7/31/89,-0.006540538
8/31/89,0.036915059
9/29/89,-0.018481563
10/31/89,0.013447381
11/30/89,0.01131062
12/29/89,0.012387678
1/31/90,0.009781928
2/28/90,0.016507876
3/30/90,0.027296387
4/30/90,0.002996775
5/31/90,0.022863684
6/29/90,0.017277116
7/31/90,-0.014700644
8/31/90,0.009702001
9/28/90,0.017479449
10/31/90,-0.032428383
11/30/90,0.010044993
12/31/90,0.004171105
1/31/91,-0.004794536
2/28/91,0.021375094
3/29/91,0.028371193
4/30/91,-0.014338093
5/31/91,0.002122461
6/28/91,-0.007780377
7/31/91,0.02181449
8/30/91,0.001936723
9/30/91,0.001431323
10/31/91,-0.001936126
11/29/91,0.016139364
12/31/91,0.060150887
1/31/92,-0.040295545
2/28/92,-0.006552044
3/31/92,0.01520492
4/30/92,0.017381339
5/29/92,0.01665462
6/30/92,0.045449407
7/31/92,0.034010516
8/31/92,0.038650454
9/30/92,-0.029226057
10/30/92,-0.029847568
11/30/92,-0.041205202
12/31/92,-0.027354048
1/29/93,0.010908397
2/26/93,-0.069052476
3/31/93,-0.000918025
4/30/93,0.034117952
5/31/93,0.003459383
6/30/93,-0.0595271
7/30/93,-0.043720595
8/31/93,0.033233477
9/30/93,0.041806973
10/29/93,-0.012396552
11/30/93,0.006542439
12/31/93,0.013003886
1/31/94,-0.004130528
2/28/94,-0.001144492
3/31/94,0.03430721
4/29/94,0.013367704
5/31/94,0.020546279
6/30/94,-0.034912519
7/29/94,0.01203071
8/31/94,0.000971416
9/30/94,-0.001223956
10/31/94,0.009446286
11/30/94,-0.006489247
12/30/94,0.010023642
1/31/95,-0.007294072
2/28/95,-0.039622443
3/31/95,-0.100348072
4/28/95,0.008778442
5/31/95,0.015509874
6/30/95,0.007931606
7/31/95,0.049191272
8/31/95,0.057364542
9/29/95,0.008886607
10/31/95,0.027518558
11/30/95,0.008984714
12/29/95,0.005733859
1/31/96,0.039767957
2/29/96,0.008896577
3/29/96,0.018077189
4/30/96,0.013228055
5/31/96,0.035473853
6/28/96,0.015901459
7/31/96,-0.028352077
8/30/96,0.021397951
9/30/96,0.04240438
10/31/96,0.030865624
11/29/96,0.030476404
12/31/96,0.022839253
1/31/97,0.004529326
2/28/97,0.010866161
3/31/97,0.011392233
4/30/97,0.009893117
5/30/97,-0.05999617
6/30/97,0.010325168
7/31/97,0.006512892
8/29/97,0.004199564
9/30/97,0.001489848
10/31/97,-0.012050844
11/28/97,0.025048411
12/31/97,-0.00668314
1/30/98,-0.001038211
2/27/98,0.000451723
3/31/98,0.038140538
4/30/98,-0.00866905
5/29/98,-0.000434744
6/30/98,0.004539251
7/31/98,-0.024319293
8/31/98,-0.044295902
9/30/98,-0.002172688
10/30/98,-0.082763106
11/30/98,0.038768773
12/31/98,-0.053532101
1/29/99,0.03211048
2/26/99,-0.008968077
3/31/99,0.027934409
4/30/99,0.017344558
5/31/99,0.003610968
6/30/99,0.007464554
7/30/99,-0.026617398
8/31/99,-0.021304606
9/30/99,0.009163783
10/29/99,-0.015143855
11/30/99,-0.002837005
12/31/99,0.017463454
1/31/00,0.031845006
2/29/00,0.003308083
3/31/00,-0.03462715
4/28/00,0.014206723
5/31/00,0.012508723
6/30/00,-0.003093858
7/31/00,-0.001291587
8/31/00,-0.031093834
9/29/00,-0.016543587
10/31/00,0.007589044
11/30/00,0.006738255
12/29/00,0.063514587
1/31/01,0.018614979
2/28/01,-0.00559469
3/30/01,0.009878154
4/30/01,0.009676677
5/31/01,-0.015130012
6/29/01,0.026211406
7/31/01,0.000291779
8/31/01,0.007329591
9/28/01,-0.045906359
10/31/01,0.028297056
11/30/01,0.011441497
12/31/01,0.038179503
1/31/02,0.025086829
2/28/02,0.015616411
3/29/02,0.01966133
4/30/02,0.000624185
5/31/02,0.035308709
6/28/02,-0.001899267
7/31/02,-0.024432009
8/30/02,0.013107787
9/30/02,0.018763611
10/31/02,0.026076166
11/29/02,0.027745914
12/31/02,0.005859125
1/31/03,0.02409811
2/28/03,-0.009261959
3/31/03,-0.008924547
4/30/03,0.034600827
5/30/03,0.022213257
6/30/03,-0.002572909
7/31/03,-0.010690179
8/29/03,-0.000192199
9/30/03,-0.0117187
10/31/03,0.039685211
11/28/03,0.016950751
12/31/03,0.005941313
1/30/04,0.02312999
2/27/04,0.040534821
3/31/04,-0.042065355
4/30/04,-0.010433498
5/31/04,-0.018567673
6/30/04,-0.008823702
7/30/04,0.032071193
8/31/04,0.005887139
9/30/04,0.033117999
10/29/04,-0.016467562
11/30/04,0.005921217
12/31/04,0.010740013
1/31/05,0.02132768
2/28/05,0.018758964
3/31/05,0.009350342
4/29/05,0.013045292
5/31/05,0.006224544
6/30/05,0.028927918
7/29/05,0.001029042
8/31/05,-0.010994184
9/30/05,0.03816897
10/31/05,0.010956479
11/30/05,0.025812568
12/30/05,-0.019493671
1/31/06,0.002849643
2/28/06,-0.011864633
3/31/06,-0.046398837
4/28/06,0.011621643
5/31/06,-0.015254137
6/30/06,-0.01018766
7/31/06,0.029487237
8/31/06,0.047908528
9/29/06,0.002617925
10/31/06,0.02827653
11/30/06,0.001745069
12/29/06,0.041151934
1/31/07,0.001174796
2/28/07,0.003384946
3/30/07,0.0216549
4/30/07,0.042751558
5/31/07,0.015458471
6/29/07,0.048147952
7/31/07,-0.016598977
8/31/07,-0.077133939
9/28/07,0.06656315
10/31/07,0.033039973
11/30/07,-0.055041376
12/31/07,0.010717339
1/31/08,-0.017688169
2/29/08,0.008570071
3/31/08,-0.066902099
4/30/08,0.065987697
5/30/08,0.018277713
6/30/08,-0.015266835
7/31/08,0.000547725
8/29/08,-0.036025093
9/30/08,-0.059575208
10/31/08,-0.135969949
11/28/08,-0.029864867
12/31/08,-0.055046282
1/30/09,-0.071885402
2/27/09,0.048273446
3/31/09,0.101442045
4/30/09,0.029936222
5/29/09,0.058059217
6/30/09,0.024659152
7/31/09,0.012041408
8/31/09,0.015598612
9/30/09,0.02116429
10/30/09,0.010229063
11/30/09,-0.007570924
12/31/09,0.027502095
1/29/10,0.010768719
2/26/10,-0.0007178
3/31/10,0.036144191
4/30/10,0.039803391
5/31/10,-0.060650303
6/30/10,-0.037467494
7/30/10,0.032380587
8/31/10,-0.048646423
9/30/10,0.050319923
10/29/10,0.014178495
11/30/10,0.007741479
12/31/10,0.008609163
1/31/11,-0.003118067
2/28/11,-0.006459209
3/31/11,0.017325925
4/29/11,0.015653766
5/31/11,0.008749419
6/30/11,-0.001841008
7/29/11,-0.010904278
8/31/11,-0.015048282
9/30/11,-0.034965483
10/31/11,0.064034245
11/30/11,-0.015061716
12/30/11,0.015405696
1/31/12,0.036770064
2/29/12,0.038711611
3/30/12,-0.019439754
4/30/12,-0.009206121
5/31/12,-0.045350071
6/29/12,0.036429753
7/31/12,0.051444313
8/31/12,-0.031660412
9/28/12,0.002186036
10/31/12,-0.009068375
11/30/12,-0.000238171
12/31/12,-0.010070961
1/31/13,-0.00414514
2/28/13,0.017123295
3/29/13,0.035325372
4/30/13,-0.010246454
5/31/13,-0.048967625
6/28/13,-0.043800936
7/31/13,-0.013032697
8/30/13,-0.010362973
9/30/13,0.037693864
10/31/13,0.004475591
11/29/13,-0.023908643
12/31/13,0.0038978
1/31/14,0.002478572
2/28/14,0.004749198
3/31/14,0.042334089
4/30/14,-0.00757072
5/30/14,0.000513639
6/30/14,0.021053623
7/31/14,8.02144E-05
8/29/14,0.011722848
9/30/14,-0.019088482
10/31/14,0.020476882
11/28/14,0.020763173
12/31/14,-0.001099485
1/30/15,-0.064104742
2/27/15,0.049862187
3/31/15,0.017962674
4/30/15,-0.009032819
5/29/15,-0.034269746
6/30/15,-0.027646927
7/31/15,-0.011737124
8/31/15,-0.030504156
9/30/15,-0.008982096
10/30/15,0.050131016
11/30/15,0.037246706
12/31/15,-0.000209554
1/29/16,-0.019324896
2/29/16,0.000543419
3/31/16,0.010298307
4/29/16,-0.028749765
5/31/16,-0.012180824
6/30/16,0.042586712
7/29/16,0.016027859
8/31/16,0.005443178
9/30/16,0.007393929
10/31/16,0.021384961
11/30/16,-0.007510366
12/30/16,-0.021139636
1/31/17,0.0216555
2/28/17,0.014821947
3/31/17,-0.022967788
4/28/17,-0.006925607
5/31/17,-0.005881377
6/30/17,0.012672081
7/31/17,0.019070574
8/31/17,-0.029780464
9/29/17,0.015983082
10/31/17,-0.019706787
11/30/17,-0.020488042
12/29/17,0.017207017
1/31/18,0.004412213
2/28/18,-0.018838065
3/30/18,-0.005088723
4/30/18,0.002766714
5/31/18,0.012692521
6/29/18,-0.022665973
7/31/18,-0.004477008
8/31/18,-0.036174993
9/28/18,0.036018403
10/31/18,0.020340313
