DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
07/31/1957,,,,,,,,,,,,,,,,,,,,,,,,1.12%
08/31/1957,,,,,,,,,,,,,,,,,,,,,,,,0.49%
09/30/1957,,,,,,,,,,,,,,,,,,,,,,,,0.70%
10/31/1957,,,,,,,,,,,,,,,,,,,,,,,,0.27%
11/30/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.90%
12/31/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.33%
01/31/1958,,,,,,,,,,,,,,,,,,,,,,,,-2.52%
02/28/1958,,,,,,,,,,,,,,,,,,,,,,,,0.48%
03/31/1958,,,,,,,,,,,,,,,,,,,,,,,,1.59%
04/30/1958,,,,,,,,,,,,,,,,,,,,,,,,0.26%
05/31/1958,,,,,,,,,,,,,,,,,,,,,,,,-1.52%
06/30/1958,,,,,,,,,,,,,,,,,,,,,,,,0.57%
07/31/1958,,,,,,,,,,,,,,,,,,,,,,,,-0.26%
08/31/1958,,,,,,,,,,,,,,,,,,,,,,,,1.46%
09/30/1958,,,,,,,,,,,,,,,,,,,,,,,,-0.81%
10/31/1958,,,,,,,,,,,,,,,,,,,,,,,,-0.81%
11/30/1958,,,,,,,,,,,,,,,,,,,,,,,,1.16%
12/31/1958,,,,,,,,,,,,,,,,,,,,,,,,-1.20%
01/31/1959,,,,,,,,,,,,,,,,,,,,,,,,0.30%
02/28/1959,,,,,,,,,,,,,,,,,,,,,,,,-1.35%
03/31/1959,,,,,,,,,,,,,,,,,,,,,,,,-1.08%
04/30/1959,,,,,,,,,,,,,,,,,,,,,,,,2.58%
05/31/1959,,,,,,,,,,,,,,,,,,,,,,,,0.56%
06/30/1959,,,,,,,,,,,,,,,,,,,,,,,,-0.03%
07/31/1959,,,,,,,,,,,,,,,,,,,,,,,,2.61%
08/31/1959,,,,,,,,,,,,,,,,,,,,,,,,0.84%
09/30/1959,,,,,,,,,,,,,,,,,,,,,,,,1.00%
10/31/1959,,,,,,,,,,,,,,,,,,,,,,,,0.28%
11/30/1959,,,,,,,,,,,,,,,,,,,,,,,,2.27%
12/31/1959,,,,,,,,,,,,,,,,,,,,,,,,0.23%
01/31/1960,,,,,,,,,,,,,,,,,,,,,,,,-0.45%
02/29/1960,,,,,,,,,,,,,,,,,,,,,,,,1.64%
03/31/1960,,,,,,,,,,,,,,,,,,,,,,,,1.90%
04/30/1960,,,,,,,,,,,,,,,,,,,,,,,,2.02%
05/31/1960,,,,,,,,,,,,,,,,,,,,,,,,0.67%
06/30/1960,,,,,,,,,,,,,,,,,,,,,,,,1.93%
07/31/1960,,,,,,,,,,,,,,,,,,,,,,,,-0.24%
08/31/1960,,,,,,,,,,,,,,,,,,,,,,,,-1.31%
09/30/1960,,,,,,,,,,,,,,,,,,,,,,,,-0.12%
10/31/1960,,,,,,,,,,,,,,,,,,,,,,,,2.03%
11/30/1960,,,,,,,,,,,,,,,,,,,,,,,,-0.49%
12/31/1960,,,,,,,,,,,,,,,,,,,,,,,,-1.49%
01/31/1961,,,,,,,,,,,,,,,,,,,,,,,,-0.92%
02/28/1961,,,,,,,,,,,,,,,,,,,,,,,,-1.67%
03/31/1961,,,,,,,,,,,,,,,,,,,,,,,,-1.29%
04/30/1961,,,,,,,,,,,,,,,,,,,,,,,,0.95%
05/31/1961,,,,,,,,,,,,,,,,,,,,,,,,-1.09%
06/30/1961,,,,,,,,,,,,,,,,,,,,,,,,2.15%
07/31/1961,,,,,,,,,,,,,,,,,,,,,,,,-0.96%
