Date,TSMOM,TSMOM^CM,TSMOM^EQ,TSMOM^FI,TSMOM^FX
01/31/1985,4.31%,-1.40%,15.34%,-1.56%,5.60%
02/28/1985,3.81%,4.74%,4.31%,-19.38%,9.93%
03/29/1985,-5.27%,-8.35%,3.28%,7.10%,-11.71%
04/30/1985,3.96%,6.01%,2.44%,4.75%,1.95%
05/31/1985,6.39%,4.55%,12.12%,14.45%,2.01%
06/28/1985,1.08%,4.65%,0.69%,0.15%,-3.36%
07/31/1985,-3.06%,3.26%,-2.23%,-1.12%,-13.27%
08/30/1985,5.23%,4.04%,6.63%,15.86%,2.30%
09/30/1985,0.66%,2.11%,-0.95%,14.56%,-4.81%
10/31/1985,0.79%,-1.78%,12.47%,-18.15%,1.96%
11/29/1985,4.79%,-0.05%,11.21%,7.42%,5.95%
12/31/1985,2.21%,-0.55%,10.64%,9.59%,-2.68%
01/31/1986,-2.60%,-9.19%,5.67%,-3.08%,1.23%
02/28/1986,10.14%,5.92%,16.63%,22.20%,7.57%
03/31/1986,8.58%,4.66%,31.67%,20.94%,-6.64%
04/30/1986,0.73%,-7.32%,3.64%,5.53%,9.29%
05/30/1986,-4.20%,-3.96%,-0.39%,-15.25%,-2.83%
06/30/1986,3.73%,3.36%,-2.69%,6.47%,7.99%
07/31/1986,3.95%,4.11%,-3.86%,1.42%,10.61%
08/29/1986,2.46%,-5.01%,18.62%,9.88%,-0.92%
09/30/1986,-4.05%,1.20%,-8.13%,-21.47%,-2.07%
10/31/1986,-1.24%,0.75%,2.99%,1.24%,-8.61%
11/28/1986,4.16%,2.14%,3.25%,8.23%,6.36%
12/31/1986,-0.30%,-3.50%,3.24%,-1.45%,2.58%
01/30/1987,6.55%,2.34%,7.40%,9.59%,11.30%
02/27/1987,3.92%,3.91%,7.15%,6.23%,0.57%
03/31/1987,4.37%,2.92%,5.96%,11.49%,2.52%
04/30/1987,-0.77%,1.19%,1.29%,-7.17%,-2.23%
05/29/1987,1.72%,3.69%,6.29%,1.02%,-4.46%
06/30/1987,-0.10%,3.30%,0.94%,-14.82%,1.10%
07/31/1987,4.02%,8.20%,9.32%,-2.96%,-3.08%
08/31/1987,1.01%,-3.59%,5.88%,6.55%,1.87%
09/30/1987,3.95%,2.42%,2.20%,6.89%,6.24%
10/30/1987,-10.58%,0.72%,-34.77%,-20.33%,-5.44%
11/30/1987,4.68%,3.65%,6.05%,3.21%,6.03%
12/31/1987,1.73%,-2.17%,0.20%,0.27%,9.79%
01/29/1988,-0.20%,-2.05%,3.91%,-1.99%,0.53%
02/29/1988,0.56%,1.68%,-5.59%,2.31%,2.53%
03/31/1988,4.20%,1.53%,1.90%,6.89%,8.81%
04/29/1988,0.23%,-1.24%,-2.27%,1.81%,3.63%
05/31/1988,2.06%,2.03%,-0.51%,-4.49%,7.33%
06/30/1988,-0.41%,3.52%,-5.68%,5.61%,-5.70%
07/29/1988,-1.89%,-6.52%,-4.50%,-2.48%,7.69%
08/31/1988,1.40%,6.55%,4.97%,-8.55%,-4.45%
09/30/1988,2.13%,5.14%,-7.68%,5.10%,3.22%
10/31/1988,0.57%,-1.48%,-5.79%,11.84%,2.94%
11/30/1988,0.15%,-2.39%,-5.01%,-4.39%,10.30%
12/30/1988,0.47%,-1.81%,6.65%,-5.33%,2.33%
01/31/1989,6.29%,-1.24%,12.06%,-4.97%,19.51%
02/28/1989,-5.00%,0.37%,-10.59%,11.63%,-17.64%
03/31/1989,5.95%,4.69%,4.01%,0.82%,11.96%
04/28/1989,0.98%,0.42%,6.17%,-5.44%,1.18%
05/31/1989,2.28%,0.69%,0.51%,6.66%,3.93%
06/30/1989,-0.17%,0.80%,1.89%,0.05%,-3.37%
07/31/1989,4.16%,6.81%,14.52%,-7.95%,-1.75%
08/31/1989,3.31%,2.08%,2.96%,-2.13%,8.25%
09/29/1989,1.16%,3.62%,-2.73%,8.58%,-3.51%
10/31/1989,-2.23%,0.21%,-20.92%,8.70%,2.47%
11/30/1989,2.26%,-1.69%,6.85%,6.59%,2.90%
12/29/1989,5.92%,9.67%,8.27%,-1.85%,2.11%
01/31/1990,-0.63%,3.77%,-7.03%,16.49%,-11.34%
02/28/1990,0.86%,-2.76%,-3.87%,21.18%,-0.02%
03/30/1990,4.88%,0.03%,6.49%,8.76%,9.42%
04/30/1990,-1.59%,-3.45%,-7.77%,7.29%,1.53%
05/31/1990,-4.88%,-0.64%,-7.18%,-18.34%,-3.16%
06/29/1990,1.00%,0.54%,-0.63%,-2.14%,4.51%
07/31/1990,3.39%,4.66%,0.99%,-0.92%,5.21%
08/31/1990,10.98%,12.18%,16.80%,14.28%,2.95%
09/28/1990,5.06%,4.54%,14.25%,5.43%,-1.13%
10/31/1990,-3.92%,1.26%,-8.37%,-9.31%,-6.51%
11/30/1990,-0.57%,-2.17%,3.27%,-3.38%,0.64%
12/31/1990,0.83%,2.03%,2.07%,-0.01%,-1.68%
01/31/1991,-0.33%,0.29%,-3.01%,-6.69%,3.81%
02/28/1991,-2.15%,2.72%,-13.56%,-5.07%,-0.24%
03/29/1991,-1.90%,-1.33%,-3.50%,-2.17%,-1.50%
04/30/1991,3.35%,4.81%,-1.50%,2.97%,4.82%
05/31/1991,-0.76%,-0.34%,-2.48%,1.57%,-1.71%
06/28/1991,0.87%,1.25%,7.37%,-7.33%,0.80%
07/31/1991,-2.52%,-3.88%,-1.71%,2.19%,-3.90%
08/30/1991,3.45%,0.62%,2.60%,12.40%,3.07%
09/30/1991,2.55%,-0.50%,-2.13%,17.38%,1.52%
10/31/1991,0.63%,-3.74%,0.90%,8.15%,3.07%
11/29/1991,0.00%,4.28%,-6.82%,1.54%,-3.38%
12/31/1991,7.51%,10.88%,6.08%,22.01%,-7.01%
01/31/1992,-1.56%,-2.07%,3.75%,-6.94%,-1.00%
02/28/1992,-0.19%,-2.41%,4.46%,1.45%,-0.69%
03/31/1992,-1.83%,0.85%,-0.11%,-11.10%,-1.86%
04/30/1992,1.97%,3.37%,3.65%,3.76%,-3.18%
05/29/1992,1.26%,-2.98%,-2.03%,10.55%,5.63%
06/30/1992,2.50%,1.47%,1.84%,8.98%,0.67%
07/31/1992,5.35%,1.58%,8.70%,18.85%,1.05%
08/31/1992,5.05%,4.81%,6.04%,0.60%,7.75%
09/30/1992,3.36%,1.51%,3.23%,0.37%,8.98%
10/30/1992,-0.64%,0.94%,-2.63%,3.35%,-4.84%
11/30/1992,1.61%,0.45%,-2.76%,-5.00%,11.52%
12/31/1992,2.06%,0.64%,-1.58%,9.90%,2.28%
01/29/1993,2.44%,-0.06%,-2.26%,12.26%,4.20%
02/26/1993,5.44%,6.73%,-7.31%,21.78%,1.64%
03/31/1993,-0.50%,0.85%,-2.12%,-2.57%,-0.50%
04/30/1993,-1.10%,-0.80%,-4.33%,0.74%,-0.61%
05/31/1993,2.92%,3.57%,0.54%,-2.12%,7.22%
06/30/1993,1.56%,-1.40%,-5.90%,15.51%,2.36%
07/30/1993,3.20%,1.69%,2.49%,9.49%,1.89%
08/31/1993,6.83%,-0.40%,17.13%,16.65%,5.61%
09/30/1993,-2.18%,-3.42%,-9.33%,1.29%,2.94%
10/29/1993,4.48%,3.77%,13.25%,8.89%,-4.03%
11/30/1993,0.85%,6.46%,-11.42%,-1.95%,1.38%
12/31/1993,6.19%,4.97%,17.95%,9.88%,-3.06%
01/31/1994,1.13%,-1.13%,11.18%,2.24%,-2.89%
